Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37003040700,"Census Tract 407, Alexander County, North Carolina",64956,null,12631,null
1400000US37005950100,"Census Tract 9501, Alleghany County, North Carolina",45239,null,9820,null
1400000US37005950200,"Census Tract 9502, Alleghany County, North Carolina",36637,null,4708,null
1400000US37005950300,"Census Tract 9503, Alleghany County, North Carolina",38036,null,4964,null
1400000US37007920100,"Census Tract 9201, Anson County, North Carolina",38125,null,11449,null
1400000US37007920200,"Census Tract 9202, Anson County, North Carolina",51089,null,23654,null
1400000US37007920301,"Census Tract 9203.01, Anson County, North Carolina",51420,null,6767,null
1400000US37007920302,"Census Tract 9203.02, Anson County, North Carolina",56667,null,38430,null
1400000US37007920400,"Census Tract 9204, Anson County, North Carolina",26887,null,1784,null
1400000US37007920501,"Census Tract 9205.01, Anson County, North Carolina",36949,null,24316,null
1400000US37007920502,"Census Tract 9205.02, Anson County, North Carolina",38191,null,8317,null
1400000US37007920600,"Census Tract 9206, Anson County, North Carolina",47752,null,7171,null
1400000US37007980000,"Census Tract 9800, Anson County, North Carolina",-,-,**,**
1400000US37009970200,"Census Tract 9702, Ashe County, North Carolina",40283,null,6013,null
1400000US37009970300,"Census Tract 9703, Ashe County, North Carolina",47297,null,8169,null
1400000US37009970400,"Census Tract 9704, Ashe County, North Carolina",46989,null,7224,null
1400000US37009970501,"Census Tract 9705.01, Ashe County, North Carolina",39833,null,10545,null
1400000US37009970502,"Census Tract 9705.02, Ashe County, North Carolina",37465,null,10325,null
1400000US37009970701,"Census Tract 9707.01, Ashe County, North Carolina",55847,null,14470,null
1400000US37009970702,"Census Tract 9707.02, Ashe County, North Carolina",45189,null,13852,null
1400000US37009970801,"Census Tract 9708.01, Ashe County, North Carolina",43929,null,16634,null
1400000US37009970802,"Census Tract 9708.02, Ashe County, North Carolina",37061,null,20005,null
1400000US37011930100,"Census Tract 9301, Avery County, North Carolina",45391,null,9999,null
1400000US37011930200,"Census Tract 9302, Avery County, North Carolina",55585,null,11551,null
1400000US37011930301,"Census Tract 9303.01, Avery County, North Carolina",38325,null,2776,null
1400000US37011930302,"Census Tract 9303.02, Avery County, North Carolina",40859,null,7571,null
1400000US37011930400,"Census Tract 9304, Avery County, North Carolina",51193,null,2801,null
1400000US37013930101,"Census Tract 9301.01, Beaufort County, North Carolina",59412,null,12198,null
1400000US37013930102,"Census Tract 9301.02, Beaufort County, North Carolina",35665,null,9095,null
1400000US37013930200,"Census Tract 9302, Beaufort County, North Carolina",50214,null,12778,null
1400000US37013930300,"Census Tract 9303, Beaufort County, North Carolina",32500,null,14561,null
1400000US37013930400,"Census Tract 9304, Beaufort County, North Carolina",34730,null,23770,null
1400000US37013930501,"Census Tract 9305.01, Beaufort County, North Carolina",44850,null,10309,null
1400000US37013930502,"Census Tract 9305.02, Beaufort County, North Carolina",53206,null,4606,null
1400000US37013930600,"Census Tract 9306, Beaufort County, North Carolina",83516,null,25926,null
1400000US37013930700,"Census Tract 9307, Beaufort County, North Carolina",65250,null,20372,null
1400000US37013930800,"Census Tract 9308, Beaufort County, North Carolina",47520,null,13543,null
1400000US37013930900,"Census Tract 9309, Beaufort County, North Carolina",71656,null,9085,null
1400000US37013931001,"Census Tract 9310.01, Beaufort County, North Carolina",52731,null,18171,null
1400000US37013931002,"Census Tract 9310.02, Beaufort County, North Carolina",51400,null,22171,null
1400000US37015960100,"Census Tract 9601, Bertie County, North Carolina",38949,null,15335,null
1400000US37015960200,"Census Tract 9602, Bertie County, North Carolina",40669,null,6647,null
1400000US37015960300,"Census Tract 9603, Bertie County, North Carolina",32258,null,9321,null
1400000US37015960401,"Census Tract 9604.01, Bertie County, North Carolina",36842,null,18296,null
1400000US37015960402,"Census Tract 9604.02, Bertie County, North Carolina",28319,null,17125,null
1400000US37017950101,"Census Tract 9501.01, Bladen County, North Carolina",46129,null,24970,null
1400000US37017950102,"Census Tract 9501.02, Bladen County, North Carolina",37466,null,19547,null
1400000US37017950200,"Census Tract 9502, Bladen County, North Carolina",41213,null,3611,null
1400000US37017950301,"Census Tract 9503.01, Bladen County, North Carolina",45287,null,9034,null
1400000US37017950302,"Census Tract 9503.02, Bladen County, North Carolina",32008,null,21593,null
1400000US37017950401,"Census Tract 9504.01, Bladen County, North Carolina",21013,null,9505,null
1400000US37017950402,"Census Tract 9504.02, Bladen County, North Carolina",-,-,**,**
1400000US37017950501,"Census Tract 9505.01, Bladen County, North Carolina",54848,null,33510,null
1400000US37017950502,"Census Tract 9505.02, Bladen County, North Carolina",47700,null,21979,null
1400000US37017950601,"Census Tract 9506.01, Bladen County, North Carolina",24611,null,14061,null
1400000US37017950602,"Census Tract 9506.02, Bladen County, North Carolina",36518,null,11210,null
1400000US37019020101,"Census Tract 201.01, Brunswick County, North Carolina",37529,null,6663,null
1400000US37019020102,"Census Tract 201.02, Brunswick County, North Carolina",62391,null,8386,null
1400000US37019020105,"Census Tract 201.05, Brunswick County, North Carolina",87740,null,13216,null
1400000US37019020106,"Census Tract 201.06, Brunswick County, North Carolina",72257,null,20370,null
1400000US37019020107,"Census Tract 201.07, Brunswick County, North Carolina",67566,null,20037,null
1400000US37019020108,"Census Tract 201.08, Brunswick County, North Carolina",51537,null,12059,null
1400000US37019020201,"Census Tract 202.01, Brunswick County, North Carolina",61855,null,9710,null
1400000US37019020203,"Census Tract 202.03, Brunswick County, North Carolina",55192,null,12808,null
1400000US37019020204,"Census Tract 202.04, Brunswick County, North Carolina",54583,null,18446,null
1400000US37019020205,"Census Tract 202.05, Brunswick County, North Carolina",94938,null,12771,null
1400000US37019020206,"Census Tract 202.06, Brunswick County, North Carolina",34636,null,14765,null
1400000US37019020304,"Census Tract 203.04, Brunswick County, North Carolina",95370,null,8083,null
1400000US37019020305,"Census Tract 203.05, Brunswick County, North Carolina",59031,null,4032,null
1400000US37019020306,"Census Tract 203.06, Brunswick County, North Carolina",66250,null,10509,null
1400000US37019020307,"Census Tract 203.07, Brunswick County, North Carolina",121458,null,85939,null
1400000US37019020308,"Census Tract 203.08, Brunswick County, North Carolina",85694,null,8725,null
1400000US37019020311,"Census Tract 203.11, Brunswick County, North Carolina",58750,null,12533,null
1400000US37019020312,"Census Tract 203.12, Brunswick County, North Carolina",67120,null,34948,null
1400000US37019020313,"Census Tract 203.13, Brunswick County, North Carolina",85486,null,18717,null
1400000US37019020314,"Census Tract 203.14, Brunswick County, North Carolina",138222,null,846,null
1400000US37019020315,"Census Tract 203.15, Brunswick County, North Carolina",70833,null,10871,null
1400000US37019020316,"Census Tract 203.16, Brunswick County, North Carolina",123636,null,32462,null
1400000US37019020404,"Census Tract 204.04, Brunswick County, North Carolina",40993,null,4816,null
1400000US37019020405,"Census Tract 204.05, Brunswick County, North Carolina",56591,null,6251,null
1400000US37019020406,"Census Tract 204.06, Brunswick County, North Carolina",99519,null,13878,null
1400000US37019020407,"Census Tract 204.07, Brunswick County, North Carolina",65163,null,31854,null
1400000US37019020408,"Census Tract 204.08, Brunswick County, North Carolina",29628,null,27610,null
1400000US37019020409,"Census Tract 204.09, Brunswick County, North Carolina",40966,null,14692,null
1400000US37019020504,"Census Tract 205.04, Brunswick County, North Carolina",77981,null,13878,null
1400000US37019020505,"Census Tract 205.05, Brunswick County, North Carolina",51283,null,10941,null
1400000US37019020508,"Census Tract 205.08, Brunswick County, North Carolina",85104,null,7137,null
1400000US37019020510,"Census Tract 205.10, Brunswick County, North Carolina",54219,null,19145,null
1400000US37019020511,"Census Tract 205.11, Brunswick County, North Carolina",60500,null,7214,null
1400000US37019020512,"Census Tract 205.12, Brunswick County, North Carolina",95909,null,8042,null
1400000US37019020513,"Census Tract 205.13, Brunswick County, North Carolina",60313,null,13557,null
1400000US37019020514,"Census Tract 205.14, Brunswick County, North Carolina",60982,null,10053,null
1400000US37019020515,"Census Tract 205.15, Brunswick County, North Carolina",63391,null,5753,null
1400000US37019020516,"Census Tract 205.16, Brunswick County, North Carolina",73269,null,11826,null
1400000US37019020517,"Census Tract 205.17, Brunswick County, North Carolina",55417,null,10484,null
1400000US37019020518,"Census Tract 205.18, Brunswick County, North Carolina",80463,null,14250,null
1400000US37019020601,"Census Tract 206.01, Brunswick County, North Carolina",48639,null,12781,null
1400000US37019020602,"Census Tract 206.02, Brunswick County, North Carolina",52337,null,9828,null
1400000US37019020603,"Census Tract 206.03, Brunswick County, North Carolina",49176,null,7485,null
1400000US37019990100,"Census Tract 9901, Brunswick County, North Carolina",-,-,**,**
1400000US37021000100,"Census Tract 1, Buncombe County, North Carolina",17313,null,2099,null
1400000US37021000200,"Census Tract 2, Buncombe County, North Carolina",53672,null,26243,null
1400000US37021000300,"Census Tract 3, Buncombe County, North Carolina",41667,null,16246,null
1400000US37021000400,"Census Tract 4, Buncombe County, North Carolina",52679,null,11555,null
1400000US37021000500,"Census Tract 5, Buncombe County, North Carolina",106875,null,40198,null
1400000US37021000600,"Census Tract 6, Buncombe County, North Carolina",51382,null,8259,null
1400000US37021000700,"Census Tract 7, Buncombe County, North Carolina",62000,null,9559,null
1400000US37021000800,"Census Tract 8, Buncombe County, North Carolina",83929,null,35169,null
1400000US37021000900,"Census Tract 9, Buncombe County, North Carolina",23926,null,5930,null
1400000US37021001000,"Census Tract 10, Buncombe County, North Carolina",69375,null,21764,null
1400000US37021001100,"Census Tract 11, Buncombe County, North Carolina",66729,null,11567,null
1400000US37021001200,"Census Tract 12, Buncombe County, North Carolina",63938,null,17493,null
1400000US37021001300,"Census Tract 13, Buncombe County, North Carolina",40313,null,11495,null
1400000US37021001401,"Census Tract 14.01, Buncombe County, North Carolina",39042,null,8632,null
1400000US37021001402,"Census Tract 14.02, Buncombe County, North Carolina",41186,null,16751,null
1400000US37021001500,"Census Tract 15, Buncombe County, North Carolina",49375,null,17849,null
1400000US37021001601,"Census Tract 16.01, Buncombe County, North Carolina",82941,null,46868,null
1400000US37021001602,"Census Tract 16.02, Buncombe County, North Carolina",69922,null,23417,null
1400000US37021001700,"Census Tract 17, Buncombe County, North Carolina",109574,null,16802,null
1400000US37021001801,"Census Tract 18.01, Buncombe County, North Carolina",42514,null,11527,null
1400000US37021001802,"Census Tract 18.02, Buncombe County, North Carolina",90107,null,28853,null
1400000US37021001900,"Census Tract 19, Buncombe County, North Carolina",43819,null,20338,null
1400000US37021002000,"Census Tract 20, Buncombe County, North Carolina",51362,null,9066,null
1400000US37021002101,"Census Tract 21.01, Buncombe County, North Carolina",171458,null,43656,null
1400000US37021002102,"Census Tract 21.02, Buncombe County, North Carolina",54250,null,15113,null
1400000US37021002203,"Census Tract 22.03, Buncombe County, North Carolina",44481,null,7542,null
1400000US37021002204,"Census Tract 22.04, Buncombe County, North Carolina",61466,null,10078,null
1400000US37021002205,"Census Tract 22.05, Buncombe County, North Carolina",91250,null,11673,null
1400000US37021002206,"Census Tract 22.06, Buncombe County, North Carolina",69722,null,11583,null
1400000US37021002303,"Census Tract 23.03, Buncombe County, North Carolina",81563,null,17776,null
1400000US37021002304,"Census Tract 23.04, Buncombe County, North Carolina",129896,null,23489,null
1400000US37021002305,"Census Tract 23.05, Buncombe County, North Carolina",77100,null,13682,null
1400000US37021002306,"Census Tract 23.06, Buncombe County, North Carolina",55069,null,12113,null
1400000US37021002401,"Census Tract 24.01, Buncombe County, North Carolina",52008,null,15213,null
1400000US37021002402,"Census Tract 24.02, Buncombe County, North Carolina",48396,null,6146,null
1400000US37021002503,"Census Tract 25.03, Buncombe County, North Carolina",48409,null,8613,null
1400000US37021002504,"Census Tract 25.04, Buncombe County, North Carolina",62813,null,14309,null
1400000US37021002505,"Census Tract 25.05, Buncombe County, North Carolina",69500,null,10492,null
1400000US37021002506,"Census Tract 25.06, Buncombe County, North Carolina",40819,null,9608,null
1400000US37021002603,"Census Tract 26.03, Buncombe County, North Carolina",40931,null,13527,null
1400000US37021002604,"Census Tract 26.04, Buncombe County, North Carolina",64031,null,16062,null
1400000US37021002606,"Census Tract 26.06, Buncombe County, North Carolina",47419,null,15138,null
1400000US37021002607,"Census Tract 26.07, Buncombe County, North Carolina",57708,null,9918,null
1400000US37021002608,"Census Tract 26.08, Buncombe County, North Carolina",46732,null,7917,null
1400000US37021002609,"Census Tract 26.09, Buncombe County, North Carolina",60025,null,10041,null
1400000US37021002701,"Census Tract 27.01, Buncombe County, North Carolina",66158,null,10218,null
1400000US37021002702,"Census Tract 27.02, Buncombe County, North Carolina",59866,null,28076,null
1400000US37021002704,"Census Tract 27.04, Buncombe County, North Carolina",80388,null,7551,null
1400000US37021002705,"Census Tract 27.05, Buncombe County, North Carolina",71681,null,38129,null
1400000US37021002803,"Census Tract 28.03, Buncombe County, North Carolina",52262,null,11368,null
1400000US37021002804,"Census Tract 28.04, Buncombe County, North Carolina",54704,null,8750,null
1400000US37021002900,"Census Tract 29, Buncombe County, North Carolina",56738,null,16029,null
1400000US37021003002,"Census Tract 30.02, Buncombe County, North Carolina",55630,null,8671,null
1400000US37021003003,"Census Tract 30.03, Buncombe County, North Carolina",51365,null,6051,null
1400000US37021003004,"Census Tract 30.04, Buncombe County, North Carolina",66042,null,12997,null
1400000US37021003103,"Census Tract 31.03, Buncombe County, North Carolina",60435,null,14056,null
1400000US37021003105,"Census Tract 31.05, Buncombe County, North Carolina",59181,null,19883,null
1400000US37021003106,"Census Tract 31.06, Buncombe County, North Carolina",48125,null,10482,null
1400000US37021003107,"Census Tract 31.07, Buncombe County, North Carolina",74531,null,18008,null
1400000US37021003108,"Census Tract 31.08, Buncombe County, North Carolina",-,-,**,**
1400000US37021003201,"Census Tract 32.01, Buncombe County, North Carolina",80491,null,6360,null
1400000US37021003202,"Census Tract 32.02, Buncombe County, North Carolina",84620,null,18775,null
1400000US37021003203,"Census Tract 32.03, Buncombe County, North Carolina",77802,null,12745,null
1400000US37021003204,"Census Tract 32.04, Buncombe County, North Carolina",61612,null,18054,null
1400000US37021003205,"Census Tract 32.05, Buncombe County, North Carolina",30057,null,19282,null
1400000US37023020100,"Census Tract 201, Burke County, North Carolina",39000,null,16049,null
1400000US37023020202,"Census Tract 202.02, Burke County, North Carolina",52611,null,8813,null
1400000US37023020203,"Census Tract 202.03, Burke County, North Carolina",82710,null,28050,null
1400000US37023020204,"Census Tract 202.04, Burke County, North Carolina",62232,null,17335,null
1400000US37023020301,"Census Tract 203.01, Burke County, North Carolina",40884,null,7934,null
1400000US37023020303,"Census Tract 203.03, Burke County, North Carolina",58633,null,12928,null
1400000US37023020304,"Census Tract 203.04, Burke County, North Carolina",42942,null,12314,null
1400000US37023020500,"Census Tract 205, Burke County, North Carolina",54423,null,16586,null
1400000US37023020600,"Census Tract 206, Burke County, North Carolina",45299,null,6262,null
1400000US37023020801,"Census Tract 208.01, Burke County, North Carolina",55259,null,6680,null
1400000US37023020802,"Census Tract 208.02, Burke County, North Carolina",49420,null,17537,null
1400000US37023020901,"Census Tract 209.01, Burke County, North Carolina",56429,null,14013,null
1400000US37023020902,"Census Tract 209.02, Burke County, North Carolina",62083,null,6686,null
1400000US37023021000,"Census Tract 210, Burke County, North Carolina",48333,null,12036,null
1400000US37023021100,"Census Tract 211, Burke County, North Carolina",53825,null,9375,null
1400000US37023021201,"Census Tract 212.01, Burke County, North Carolina",51429,null,15565,null
1400000US37023021202,"Census Tract 212.02, Burke County, North Carolina",44979,null,5933,null
1400000US37023021203,"Census Tract 212.03, Burke County, North Carolina",45096,null,9699,null
1400000US37023021301,"Census Tract 213.01, Burke County, North Carolina",44375,null,9220,null
1400000US37023021302,"Census Tract 213.02, Burke County, North Carolina",53869,null,10903,null
1400000US37023021400,"Census Tract 214, Burke County, North Carolina",37428,null,5617,null
1400000US37025040501,"Census Tract 405.01, Cabarrus County, North Carolina",83274,null,9960,null
1400000US37025040502,"Census Tract 405.02, Cabarrus County, North Carolina",60371,null,14371,null
1400000US37025040600,"Census Tract 406, Cabarrus County, North Carolina",65414,null,6177,null
1400000US37025040701,"Census Tract 407.01, Cabarrus County, North Carolina",45129,null,9333,null
1400000US37025040703,"Census Tract 407.03, Cabarrus County, North Carolina",35388,null,15329,null
1400000US37025040704,"Census Tract 407.04, Cabarrus County, North Carolina",47460,null,14174,null
1400000US37025040705,"Census Tract 407.05, Cabarrus County, North Carolina",66009,null,14479,null
1400000US37025040800,"Census Tract 408, Cabarrus County, North Carolina",49023,null,5928,null
1400000US37025040900,"Census Tract 409, Cabarrus County, North Carolina",57813,null,9544,null
1400000US37025041001,"Census Tract 410.01, Cabarrus County, North Carolina",73196,null,16042,null
1400000US37025041002,"Census Tract 410.02, Cabarrus County, North Carolina",35434,null,7086,null
1400000US37025041100,"Census Tract 411, Cabarrus County, North Carolina",67868,null,11488,null
1400000US37025041201,"Census Tract 412.01, Cabarrus County, North Carolina",58906,null,26172,null
1400000US37025041202,"Census Tract 412.02, Cabarrus County, North Carolina",85672,null,15800,null
1400000US37025041301,"Census Tract 413.01, Cabarrus County, North Carolina",106799,null,22331,null
1400000US37025041304,"Census Tract 413.04, Cabarrus County, North Carolina",112486,null,19688,null
1400000US37025041305,"Census Tract 413.05, Cabarrus County, North Carolina",101944,null,28701,null
1400000US37025041306,"Census Tract 413.06, Cabarrus County, North Carolina",111959,null,22168,null
1400000US37025041307,"Census Tract 413.07, Cabarrus County, North Carolina",166782,null,18892,null
1400000US37025041503,"Census Tract 415.03, Cabarrus County, North Carolina",105021,null,14279,null
1400000US37025041504,"Census Tract 415.04, Cabarrus County, North Carolina",123242,null,17292,null
1400000US37025041505,"Census Tract 415.05, Cabarrus County, North Carolina",134809,null,16263,null
1400000US37025041506,"Census Tract 415.06, Cabarrus County, North Carolina",113750,null,18450,null
1400000US37025041507,"Census Tract 415.07, Cabarrus County, North Carolina",107604,null,31726,null
1400000US37025041602,"Census Tract 416.02, Cabarrus County, North Carolina",57898,null,15853,null
1400000US37025041603,"Census Tract 416.03, Cabarrus County, North Carolina",75139,null,11489,null
1400000US37025041604,"Census Tract 416.04, Cabarrus County, North Carolina",111419,null,30832,null
1400000US37025041701,"Census Tract 417.01, Cabarrus County, North Carolina",67656,null,9500,null
1400000US37025041702,"Census Tract 417.02, Cabarrus County, North Carolina",70161,null,8575,null
1400000US37025041901,"Census Tract 419.01, Cabarrus County, North Carolina",35156,null,12615,null
1400000US37025041902,"Census Tract 419.02, Cabarrus County, North Carolina",46181,null,12519,null
1400000US37025042000,"Census Tract 420, Cabarrus County, North Carolina",58971,null,6525,null
1400000US37025042101,"Census Tract 421.01, Cabarrus County, North Carolina",40917,null,4803,null
1400000US37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",55223,null,15263,null
1400000US37025042201,"Census Tract 422.01, Cabarrus County, North Carolina",58871,null,31946,null
1400000US37025042202,"Census Tract 422.02, Cabarrus County, North Carolina",84535,null,20839,null
1400000US37025042300,"Census Tract 423, Cabarrus County, North Carolina",50417,null,10396,null
1400000US37025042401,"Census Tract 424.01, Cabarrus County, North Carolina",105417,null,44450,null
1400000US37025042402,"Census Tract 424.02, Cabarrus County, North Carolina",40843,null,11395,null
1400000US37025042501,"Census Tract 425.01, Cabarrus County, North Carolina",93224,null,13121,null
1400000US37025042502,"Census Tract 425.02, Cabarrus County, North Carolina",77500,null,10669,null
1400000US37025042503,"Census Tract 425.03, Cabarrus County, North Carolina",79598,null,19015,null
1400000US37025042504,"Census Tract 425.04, Cabarrus County, North Carolina",119500,null,24773,null
1400000US37025042601,"Census Tract 426.01, Cabarrus County, North Carolina",110429,null,19296,null
1400000US37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",78033,null,15070,null
1400000US37025042603,"Census Tract 426.03, Cabarrus County, North Carolina",83930,null,10725,null
1400000US37025042604,"Census Tract 426.04, Cabarrus County, North Carolina",90162,null,9537,null
1400000US37027030100,"Census Tract 301, Caldwell County, North Carolina",28809,null,3463,null
1400000US37027030200,"Census Tract 302, Caldwell County, North Carolina",36696,null,8604,null
1400000US37027030300,"Census Tract 303, Caldwell County, North Carolina",38354,null,1954,null
1400000US37027030400,"Census Tract 304, Caldwell County, North Carolina",31933,null,5703,null
1400000US37027030500,"Census Tract 305, Caldwell County, North Carolina",73108,null,14732,null
1400000US37027030600,"Census Tract 306, Caldwell County, North Carolina",56940,null,17612,null
1400000US37027030700,"Census Tract 307, Caldwell County, North Carolina",51957,null,6832,null
1400000US37027030801,"Census Tract 308.01, Caldwell County, North Carolina",42009,null,14861,null
1400000US37027030802,"Census Tract 308.02, Caldwell County, North Carolina",36593,null,10489,null
1400000US37027030900,"Census Tract 309, Caldwell County, North Carolina",57917,null,19132,null
1400000US37027031000,"Census Tract 310, Caldwell County, North Carolina",48810,null,6613,null
1400000US37027031100,"Census Tract 311, Caldwell County, North Carolina",51174,null,8424,null
1400000US37027031201,"Census Tract 312.01, Caldwell County, North Carolina",45000,null,8954,null
1400000US37027031202,"Census Tract 312.02, Caldwell County, North Carolina",50156,null,12220,null
1400000US37027031301,"Census Tract 313.01, Caldwell County, North Carolina",88618,null,9429,null
1400000US37027031302,"Census Tract 313.02, Caldwell County, North Carolina",64712,null,14916,null
1400000US37027031401,"Census Tract 314.01, Caldwell County, North Carolina",70729,null,17714,null
1400000US37027031402,"Census Tract 314.02, Caldwell County, North Carolina",47344,null,15841,null
1400000US37027031403,"Census Tract 314.03, Caldwell County, North Carolina",31081,null,7962,null
1400000US37029950101,"Census Tract 9501.01, Camden County, North Carolina",70861,null,15734,null
1400000US37029950102,"Census Tract 9501.02, Camden County, North Carolina",60268,null,13440,null
1400000US37031970101,"Census Tract 9701.01, Carteret County, North Carolina",47404,null,10687,null
1400000US37031970102,"Census Tract 9701.02, Carteret County, North Carolina",58333,null,14933,null
1400000US37031970103,"Census Tract 9701.03, Carteret County, North Carolina",52043,null,13324,null
1400000US37031970200,"Census Tract 9702, Carteret County, North Carolina",60500,null,17379,null
1400000US37031970301,"Census Tract 9703.01, Carteret County, North Carolina",49773,null,17227,null
1400000US37031970304,"Census Tract 9703.04, Carteret County, North Carolina",43362,null,10715,null
1400000US37031970305,"Census Tract 9703.05, Carteret County, North Carolina",55473,null,15054,null
1400000US37031970401,"Census Tract 9704.01, Carteret County, North Carolina",35563,null,13971,null
1400000US37031970402,"Census Tract 9704.02, Carteret County, North Carolina",43807,null,8177,null
1400000US37031970403,"Census Tract 9704.03, Carteret County, North Carolina",46713,null,3533,null
1400000US37031970501,"Census Tract 9705.01, Carteret County, North Carolina",47880,null,14731,null
1400000US37031970502,"Census Tract 9705.02, Carteret County, North Carolina",77426,null,11048,null
1400000US37031970503,"Census Tract 9705.03, Carteret County, North Carolina",44924,null,17870,null
1400000US37031970504,"Census Tract 9705.04, Carteret County, North Carolina",95757,null,20666,null
1400000US37031970601,"Census Tract 9706.01, Carteret County, North Carolina",70909,null,14019,null
1400000US37031970602,"Census Tract 9706.02, Carteret County, North Carolina",95518,null,6154,null
1400000US37031970603,"Census Tract 9706.03, Carteret County, North Carolina",52955,null,11879,null
1400000US37031970606,"Census Tract 9706.06, Carteret County, North Carolina",76027,null,9932,null
1400000US37031970701,"Census Tract 9707.01, Carteret County, North Carolina",34762,null,28365,null
1400000US37031970702,"Census Tract 9707.02, Carteret County, North Carolina",66250,null,19171,null
1400000US37031970703,"Census Tract 9707.03, Carteret County, North Carolina",57361,null,23802,null
1400000US37031970704,"Census Tract 9707.04, Carteret County, North Carolina",64205,null,12687,null
1400000US37031970801,"Census Tract 9708.01, Carteret County, North Carolina",56950,null,8858,null
1400000US37031970804,"Census Tract 9708.04, Carteret County, North Carolina",87750,null,15095,null
1400000US37031970805,"Census Tract 9708.05, Carteret County, North Carolina",42917,null,22703,null
